Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
Duke,72,32,2552,79.8,2079,65,14.8,84.4,558,763,73.1,1871,47.1,0,0,0,456,14.25,454,14.188,1160,36.3,1092,34.1,2.1,0,299,9.3,601,18.8
Duquesne,73,29,2040,70.3,2071,71.4,-1.1,41.4,409,602,67.9,1604,45.4,0,0,0,444,15.31,427,14.724,1010,34.8,1048,36.1,-1.3,0,173,6,565,19.5
East Carolina,74,27,1905,70.6,1786,66.1,4.4,48.1,438,670,65.4,1525,43.7,0,0,0,324,12,404,14.963,1073,39.7,934,34.6,5.1,0,183,6.8,535,19.8
Eastern Ill.,75,27,1850,68.5,2020,74.8,-6.3,22.2,325,470,69.1,1562,44.4,0,0,0,397,14.704,436,16.148,940,34.8,909,33.7,1.1,0,192,7.1,588,21.8
Eastern Ky.,76,29,2125,73.3,2071,71.4,1.9,48.3,426,660,64.5,1615,46.7,0,0,0,473,16.31,462,15.931,994,34.3,937,32.3,2,0,213,7.3,590,20.3
Eastern Mich.,77,28,1978,70.6,1968,70.3,0.4,46.4,459,702,65.4,1512,45.9,0,0,0,370,13.214,477,17.036,993,35.5,944,33.7,1.8,0,212,7.6,574,20.5
Eastern Wash.,78,29,2046,70.6,1960,67.6,3,58.6,418,595,70.3,1515,47.9,0,0,0,461,15.897,439,15.138,891,30.7,895,30.9,-0.1,0,184,6.3,590,20.3
Elon,79,30,2067,68.9,2200,73.3,-4.4,40,355,501,70.9,1783,42.1,0,0,0,440,14.667,512,17.067,1086,36.2,1054,35.1,1.1,0,267,8.9,579,19.3
ETSU,80,32,2541,79.4,2211,69.1,10.3,84.4,512,742,69,1985,46.2,0,0,0,491,15.344,508,15.875,1231,38.5,1224,38.3,0.2,0,371,11.6,543,17
Evansville,81,29,1962,67.7,2163,74.6,-6.9,24.1,372,562,66.2,1525,45.3,0,0,0,434,14.966,451,15.552,979,33.8,1015,35,-1.2,0,113,3.9,605,20.9
