Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
Fordham,90,28,1795,64.1,2069,73.9,-9.8,25,317,503,63,1636,39.6,0,0,34.8,350,12.5,393,14.036,1061,37.9,1061,37.9,0,0,117,4.2,514,18.4
Fort Wayne,91,30,2230,74.3,2103,70.1,4.2,60,458,593,77.2,1676,45.7,0,0,33.6,436,14.533,365,12.167,953,31.8,960,32,-0.2,0,151,5,646,21.5
Fresno St.,92,31,2096,67.6,2089,67.4,0.2,45.2,427,679,62.9,1740,42.7,0,0,35.3,441,14.226,430,13.871,1117,36,1081,34.9,1.2,0,264,8.5,566,18.3
Furman,93,32,2208,69,2048,64,5,68.8,487,667,73,1667,44.8,0,0,32.8,395,12.344,419,13.094,1104,34.5,1013,31.7,2.8,0,168,5.3,600,18.8
Ga. Southern,94,32,2090,65.3,2423,75.7,-10.4,15.6,458,666,68.8,1661,44.9,0,0,36.5,381,11.906,575,17.969,971,30.3,1061,33.2,-2.8,0,276,8.6,703,22
Gardner-Webb,95,32,1985,62,2129,66.5,-4.5,34.4,350,545,64.2,1742,41.1,0,0,37.7,333,10.406,475,14.844,1094,34.2,1072,33.5,0.7,0,224,7,600,18.8
George Mason,96,32,2347,73.3,1969,61.5,11.8,81.3,474,687,69,1749,47.4,0,0,31.3,458,14.312,350,10.938,1123,35.1,1049,32.8,2.3,0,216,6.8,549,17.2
George Washington,97,31,2011,64.9,2025,65.3,-0.5,54.8,405,646,62.7,1716,41.5,0,0,36.5,371,11.968,396,12.774,1101,35.5,1052,33.9,1.6,0,199,6.4,569,18.4
Georgetown,98,31,2202,71,2049,66.1,4.9,67.7,406,555,73.2,1651,47.8,0,0,33,469,15.129,416,13.419,1045,33.7,969,31.3,2.5,0,190,6.1,577,18.6
Georgia,99,32,2202,68.8,2057,64.3,4.5,65.6,451,648,69.6,1772,45.1,0,0,32.2,486,15.188,429,13.406,1207,37.7,1057,33,4.7,0,208,6.5,528,16.5
Georgia St.,100,31,1919,61.9,1988,64.1,-2.2,38.7,326,549,59.4,1676,42.2,0,0,33,404,13.032,463,14.935,1103,35.6,1022,33,2.6,0,201,6.5,658,21.2
Georgia Tech,101,31,2102,67.8,2079,67.1,0.7,41.9,406,589,68.9,1855,40.5,0,0,37.9,408,13.161,424,13.677,1101,35.5,1071,34.5,1,0,297,9.6,639,20.6
Gonzaga,102,33,2531,76.7,2147,65.1,11.6,72.7,579,763,75.9,1838,47.9,0,0,35.7,504,15.273,444,13.455,1235,37.4,1039,31.5,5.9,0,244,7.4,615,18.6
Grambling,103,33,1998,60.5,2262,68.5,-8,36.4,434,707,61.4,1838,38,0,0,34.1,338,10.242,506,15.333,1197,36.3,1270,38.5,-2.2,0,214,6.5,690,20.9
Green Bay,105,32,2154,67.3,2189,68.4,-1.1,43.8,428,621,68.9,1801,43.7,0,0,37.9,377,11.781,421,13.156,1102,34.4,1047,32.7,1.7,0,198,6.2,650,20.3
Hampton,106,32,2152,67.3,1983,62,5.3,75,489,752,65,1788,40.7,0,0,31.2,383,11.969,395,12.344,1141,35.7,1278,39.9,-4.3,0,239,7.5,587,18.3
Hartford,107,31,1857,59.9,1996,64.4,-4.5,35.5,248,413,60,1756,38.3,0,0,36.5,367,11.839,388,12.516,960,31,1161,37.5,-6.5,0,244,7.9,573,18.5
Harvard,108,29,2090,72.1,1862,64.2,7.9,79.3,519,640,81.1,1437,47.7,0,0,36.6,416,14.345,388,13.379,942,32.5,866,29.9,2.6,0,176,6.1,452,15.6
Hawaii,109,30,2066,68.9,2010,67,1.9,60,459,670,68.5,1574,45,0,0,33.2,359,11.967,477,15.9,1076,35.9,1008,33.6,2.3,0,161,5.4,589,19.6
High Point,110,31,2050,66.1,2250,72.6,-6.5,38.7,470,707,66.5,1711,41.2,0,0,33.5,342,11.032,469,15.129,1055,34,1131,36.5,-2.5,0,226,7.3,669,21.6
Hofstra,111,32,2265,70.8,2223,69.5,1.3,65.6,490,642,76.3,1782,44.1,0,0,37.4,433,13.531,332,10.375,1032,32.3,1163,36.3,-4.1,0,205,6.4,573,17.9
Holy Cross,112,29,1949,67.2,2002,69,-1.8,27.6,375,577,65,1618,44.1,0,0,33.7,385,13.276,387,13.345,1065,36.7,975,33.6,3.1,0,118,4.1,530,18.3
Houston,113,30,2061,68.7,2092,69.7,-1,40,433,647,66.9,1579,46,0,0,31.5,404,13.467,456,15.2,1012,33.7,1067,35.6,-1.8,0,169,5.6,605,20.2
Houston Baptist,114,31,2140,69,2429,78.4,-9.3,16.1,490,725,67.6,1818,40.4,0,0,35.8,362,11.677,513,16.548,1081,34.9,1258,40.6,-5.7,0,257,8.3,682,22
Howard,115,30,1753,58.4,2098,69.9,-11.5,20,418,671,62.3,1576,37.6,0,0,36.3,279,9.3,476,15.867,1037,34.6,1073,35.8,-1.2,0,182,6.1,577,19.2
Idaho,116,31,2099,67.7,2053,66.2,1.5,58.1,441,610,72.3,1583,46.2,0,0,32.5,438,14.129,453,14.613,1031,33.3,1002,32.3,0.9,0,199,6.4,516,16.6
Idaho St.,117,29,1878,64.8,2096,72.3,-7.5,31,453,646,70.1,1560,41.4,0,0,38.4,277,9.5517,386,13.31,962,33.2,1002,34.6,-1.4,0,194,6.7,545,18.8
Ill.-Chicago,118,31,1943,62.7,2152,69.4,-6.7,22.6,351,526,66.7,1703,42.5,0,0,35.9,361,11.645,497,16.032,1127,36.4,1014,32.7,3.6,0,144,4.6,554,17.9
Illinois,119,32,2281,71.3,2087,65.2,6.1,59.4,376,516,72.9,1803,46.8,0,0,30.5,531,16.594,407,12.719,1114,34.8,1061,33.2,1.7,0,178,5.6,563,17.6
Illinois St.,120,31,1893,61.1,1977,63.8,-2.7,38.7,380,537,70.8,1599,42.5,0,0,35.5,346,11.161,414,13.355,1055,34,996,32.1,1.9,0,153,4.9,568,18.3
Indiana,122,32,2226,69.6,2182,68.2,1.4,37.5,459,632,72.6,1713,46.1,0,0,36.4,393,12.281,415,12.969,1049,32.8,1019,31.8,0.9,0,201,6.3,685,21.4
Indiana St.,123,33,2193,66.5,2115,64.1,2.4,60.6,471,662,71.1,1738,43,0,0,32.9,418,12.667,463,14.03,1147,34.8,1099,33.3,1.5,0,205,6.2,660,20
Iona,124,33,2607,79,2283,69.2,9.8,66.7,470,720,65.3,1974,47.4,0,0,35.6,573,17.364,421,12.758,1207,36.6,1109,33.6,3,0,246,7.5,595,18
Iowa,125,31,2084,67.2,2110,68.1,-0.8,35.5,406,601,67.6,1743,43.9,0,0,33.2,423,13.645,447,14.419,1085,35,1045,33.7,1.3,0,208,6.7,512,16.5
Iowa St.,126,32,2395,74.8,2257,70.5,4.3,50,380,527,72.1,1993,43.7,0,0,33.6,480,15,401,12.531,1171,36.6,1245,38.9,-2.3,0,216,6.8,524,16.4
IUPUI,127,33,2364,71.6,2282,69.2,2.5,57.6,458,586,78.2,1806,47.3,0,0,36.1,362,10.97,371,11.242,1047,31.7,1028,31.2,0.6,0,193,5.8,501,15.2
Jackson St.,128,32,2096,65.5,2009,62.8,2.7,53.1,466,731,63.7,1719,41.9,0,0,34.7,426,13.312,481,15.031,1121,35,1038,32.4,2.6,0,250,7.8,668,20.9
Jacksonville,129,30,2043,68.1,1965,65.5,2.6,63.3,452,675,67,1717,42.6,0,0,31.8,365,12.167,460,15.333,1110,37,1030,34.3,2.7,0,249,8.3,643,21.4
Jacksonville St.,130,30,1828,60.9,1974,65.8,-4.9,16.7,342,527,64.9,1546,42.4,0,0,35.5,368,12.267,432,14.4,886,29.5,977,32.6,-3,0,190,6.3,599,20
James Madison,131,32,2290,71.6,2172,67.9,3.7,65.6,479,673,71.2,1750,46.1,0,0,35.8,444,13.875,404,12.625,1124,35.1,1029,32.2,3,0,171,5.3,575,18
Kansas,132,34,2801,82.4,2218,65.2,17.1,94.1,542,796,68.1,1959,51.4,0,0,29.4,608,17.882,458,13.471,1311,38.6,1046,30.8,7.8,0,270,7.9,608,17.9
Kansas St.,133,32,2339,73.1,2111,66,7.1,68.8,503,778,64.7,1837,43.8,0,0,34.8,453,14.156,479,14.969,1215,38,999,31.2,6.8,0,203,6.3,653,20.4
Kennesaw St.,134,31,2017,65.1,2320,74.8,-9.8,25.8,401,618,64.9,1731,41.6,0,0,37,347,11.194,443,14.29,1057,34.1,1156,37.3,-3.2,0,171,5.5,532,17.2
Kent St.,135,34,2409,70.9,2254,66.3,4.6,67.6,489,734,66.6,1995,43.6,0,0,31.5,469,13.794,441,12.971,1272,37.4,1244,36.6,0.8,0,267,7.9,596,17.5
Kentucky,136,33,2522,76.4,2107,63.8,12.6,75.8,511,712,71.8,1920,46,0,0,33.2,419,12.697,352,10.667,1257,38.1,1117,33.8,4.2,0,181,5.5,531,16.1
La Salle,137,33,2536,76.8,2595,78.6,-1.8,45.5,482,680,70.9,2070,44.6,0,0,35.7,496,15.03,513,15.545,1273,38.6,1212,36.7,1.8,0,245,7.4,616,18.7
La.-Monroe,138,31,1859,60,2126,68.6,-8.6,22.6,363,560,64.8,1606,41.7,0,0,38.5,311,10.032,441,14.226,947,30.5,976,31.5,-0.9,0,193,6.2,588,19
Lafayette,139,32,2237,69.9,2310,72.2,-2.3,40.6,482,633,76.1,1757,42.9,0,0,35.7,476,14.875,430,13.438,1031,32.2,1148,35.9,-3.7,0,197,6.2,648,20.3
Lamar University,140,30,2463,82.1,2279,76,6.1,43.3,537,782,68.7,1962,43.1,0,0,32.8,437,14.567,458,15.267,1235,41.2,1141,38,3.1,0,246,8.2,692,23.1
Lehigh,141,31,2282,73.6,2232,72,1.6,51.6,624,826,75.5,1781,41.7,0,0,36.1,372,12,402,12.968,1137,36.7,1145,36.9,-0.3,0,236,7.6,593,19.1
Liberty,142,32,2165,67.7,2100,65.6,2,59.4,441,643,68.6,1827,42.6,0,0,31.8,402,12.562,486,15.188,1237,38.7,1051,32.8,5.8,0,214,6.7,615,19.2
