,Team name,Team ID,Games,Win %,FG %,FT %,3pt %,opp 3pt %,assists,turnovers,defensive rebounds per game,offensive rebounds per game,steals per game,personal fouls per game,PPG,opp PPG,score margin,assists per game,turnovers per gae,3FGA
259,SIUE,260,30,20,40.7,67.7,29.2,32.9,305,436,24,11.77,4.7,21.9,68.1,76.1,-7.9,10.167,14.533,486
260,SMU,261,34,88.2,47.4,69.5,40.6,32.2,556,369,26.41,11.94,5.7,14.4,74.5,59.8,14.7,16.353,10.853,682
261,South Ala.,262,32,43.8,42.7,65.5,31.8,34.8,408,419,24.09,10.53,7.5,20.4,71.4,72.6,-1.2,12.75,13.094,702
262,South Carolina,263,32,68.8,41.4,69,33.8,29.3,403,428,23.75,12.53,7.8,20.8,72.1,64.5,7.6,12.594,13.375,639
263,South Carolina St.,264,31,35.5,43,69.1,32,34.5,381,383,21.65,10.32,5,19.2,69.9,80.2,-10.3,12.29,12.355,578
264,South Dakota,265,33,66.7,44.4,70.4,34,36.5,400,390,27.21,10.39,6.7,19.3,77.7,73.5,4.2,12.121,11.818,639
265,South Dakota St.,266,34,52.9,45.9,77.6,36.3,37.6,451,440,25.97,9.03,5.2,16.7,77.6,77.4,0.2,13.265,12.941,863
266,South Fla.,267,30,23.3,42.5,65.7,34.6,39.6,365,489,24.17,10.93,6.1,19.3,64.8,74.5,-9.7,12.167,16.3,503
267,Southeast Mo. St.,268,33,45.5,44.9,74.2,36.7,36.7,454,410,22.27,8.76,7.5,19.5,74.5,74.7,-0.1,13.758,12.424,716
268,Southeastern La.,269,32,50,45,68.3,36.3,34.3,455,512,24.06,12,6.8,19.3,70.9,68.2,2.7,14.219,16,593
269,Southern California,270,33,72.7,45.4,73.9,36.3,36.5,505,368,25.3,10.79,7.2,15.9,78.7,73.2,5.5,15.303,11.152,713
270,Southern Ill.,271,33,51.5,43.3,69.6,31.6,39.6,375,398,23.21,10.55,6.8,18,68.5,69.4,-0.9,11.364,12.061,554
271,Southern Miss.,272,31,29,39.9,70.7,30.5,37,376,405,25.87,8.32,4.7,17,63,72.2,-9.3,12.129,13.065,655
272,Southern U.,273,33,45.5,43.6,69.6,31.9,31.4,388,453,25.79,12.27,5.7,19.2,71.5,72.7,-1.2,11.758,13.727,511
273,Southern Utah,274,33,18.2,40.6,74.1,35.7,38.4,381,452,25.33,11.61,5.6,24.3,77.5,85.3,-7.7,11.545,13.697,816
274,St. Bonaventure,275,32,62.5,44.3,76.9,34.8,35.3,423,401,24.5,11.53,7.2,21,76.8,72.4,4.5,13.219,12.531,577
275,St. Francis Brooklyn,276,31,12.9,34.7,64.9,27.9,35.2,287,379,22.23,12.58,6.7,21.7,62,73.7,-11.7,9.2581,12.226,792
276,St. John's (NY),277,33,42.4,43.3,72.4,36.4,37.5,446,433,24.21,10.21,6.8,20.8,76.8,78.7,-1.9,13.515,13.121,763
277,Stanford,278,31,45.2,44,68.2,32,38.2,421,399,24.23,10.19,6.8,19.5,69.7,71.1,-1.4,13.581,12.871,490
278,Stetson,279,32,34.4,44.1,65.9,33.9,34.7,436,362,26.69,8.56,4.8,19,77.2,82.9,-5.7,13.625,11.312,770
