,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG,,
150,Loyola Chicago,151,32,2105,65.8,2199,68.7,-2.9,31.3,426,606,70.3,1609,46.2,546,35,35.2,419,13.1,426,13.3,973,30.4,1027,32.1,-1.7,707,176,5.5,622,19.4,,
151,Loyola Maryland,152,30,1957,65.2,2158,71.9,-6.7,36.7,452,678,66.7,1642,41.4,452,32,40.4,336,11.2,357,11.9,935,31.2,1088,36.3,-5.1,607,236,7.9,584,19.5,,
152,Loyola Marymount,153,32,2345,73.3,2468,77.1,-3.8,40.6,528,693,76.2,1916,43.7,479,29,36.9,404,12.6,389,12.2,1081,33.8,1162,36.3,-2.5,696,227,7.1,645,20.2,,
153,LSU,154,32,2402,75.1,2280,71.3,3.8,59.4,451,674,66.9,1956,44.4,630,34,36,454,14.2,441,13.8,1269,39.7,1167,36.5,3.2,842,247,7.7,610,19.1,,
154,Maine,155,29,2091,72.1,2404,82.9,-10.8,20.7,391,577,67.8,1712,44.3,543,34,35.7,418,14.4,439,15.1,965,33.3,1171,40.4,-7.1,696,220,7.6,606,20.9,,
155,Manhattan,156,32,2476,77.4,2240,70,7.4,78.1,661,998,66.2,1786,45.1,559,37,32.7,422,13.2,453,14.2,1203,37.6,1157,36.2,1.4,795,265,8.3,772,24.1,,
156,Marist,157,31,2119,68.4,2233,72,-3.7,38.7,500,700,71.4,1736,40.8,580,35,38.2,342,11.0,384,12.4,1057,34.1,1148,37,-2.9,723,202,6.5,583,18.8,,
157,Marquette,158,32,2310,72.2,2199,68.7,3.5,53.1,556,806,69,1800,44.4,480,32,36.5,474,14.8,383,12.0,1167,36.5,1064,33.3,3.2,788,202,6.3,631,19.7,,
158,Marshall,159,33,2385,72.3,2375,72,0.3,33.3,509,818,62.2,1938,43.2,655,31,31.6,397,12.0,427,12.9,1222,37.0,1268,38.4,-1.4,799,211,6.4,658,19.9,,
159,Maryland,160,32,2270,70.9,2166,67.7,3.3,53.1,460,677,67.9,1844,43,660,34,34.1,374,11.7,408,12.8,1200,37.5,1094,34.2,3.3,816,202,6.3,634,19.8,,
160,Massachusetts,161,32,2435,76.1,2264,70.8,5.3,75,517,758,68.2,1895,46,501,35,31.3,486,15.2,433,13.5,1234,38.6,1136,35.5,3.1,844,218,6.8,628,19.6,,
161,McNeese,162,31,2111,68.1,2358,76.1,-8,35.5,450,647,69.6,1858,39.2,666,30,37.9,369,11.9,397,12.8,1142,36.8,1226,39.5,-2.7,734,211,6.8,554,17.9,,
162,Memphis,163,32,2483,77.6,2253,70.4,7.2,71.9,496,764,64.9,1895,47.9,517,33,30.8,556,17.4,431,13.5,1204,37.6,1119,35,2.7,800,279,8.7,578,18.1,,
163,Mercer,164,34,2695,79.3,2256,66.4,12.9,76.5,552,754,73.2,1963,47.5,721,38,29.9,559,16.4,406,11.9,1292,38.0,1114,32.8,5.2,895,205,6.0,629,18.5,,
164,Miami (FL),165,33,2029,61.5,1964,59.5,2,51.5,419,610,68.7,1690,42.1,576,32,35.5,346,10.5,335,10.2,1140,34.5,1058,32.1,2.5,778,161,4.9,522,15.8,,
165,Miami (OH),166,31,2023,65.3,2160,69.7,-4.4,41.9,433,574,75.4,1664,43.4,496,29,37.9,387,12.5,420,13.5,967,31.2,1056,34.1,-2.9,701,267,8.6,537,17.3,,
166,Michigan,167,33,2455,74.4,2157,65.4,9,75.8,485,637,76.1,1776,47.6,711,39,32.1,469,14.2,310,9.4,1049,31.8,1024,31,0.8,757,169,5.1,480,14.5,,
167,Michigan St.,168,34,2582,75.9,2221,65.3,10.6,76.5,454,655,69.3,1953,47.5,700,39,33.2,578,17.0,389,11.4,1260,37.1,1087,32,5.1,884,236,6.9,642,18.9,,
168,Middle Tenn.,169,33,2339,70.9,2067,62.6,8.2,72.7,529,796,66.5,1795,45.5,520,34,32.3,433,13.1,416,12.6,1211,36.7,1053,31.9,4.8,812,234,7.1,664,20.1,,
169,Milwaukee,170,34,2412,70.9,2396,70.5,0.5,61.8,593,808,73.4,1825,43.3,730,33,31.5,463,13.6,457,13.4,1145,33.7,1195,35.1,-1.5,815,196,5.8,616,18.1,,
170,Minnesota,171,33,2351,71.2,2238,67.8,3.4,60.6,511,691,74,1805,44.5,663,35,33.8,451,13.7,389,11.8,1138,34.5,1090,33,1.5,783,245,7.4,635,19.2,,
171,Mississippi St.,172,33,2234,67.7,2353,71.3,-3.6,42.4,510,769,66.3,1776,44.2,502,31,32.6,401,12.2,459,13.9,1086,32.9,1163,35.2,-2.3,761,255,7.7,570,17.3,,
172,Mississippi Val.,173,32,2293,71.7,2582,80.7,-9,28.1,474,707,67,1934,41.8,646,31,36.7,357,11.2,469,14.7,1115,34.8,1211,37.8,-3,741,245,7.7,719,22.5,,
173,Missouri,174,33,2405,72.9,2293,69.5,3.4,66.7,656,884,74.2,1713,45.4,565,34,33.1,341,10.3,416,12.6,1230,37.3,1057,32,5.2,863,165,5.0,635,19.2,,
174,Missouri St.,175,32,2199,68.7,2185,68.3,0.4,62.5,502,710,70.7,1707,43.2,621,36,35.4,385,12.0,353,11.0,1046,32.7,1082,33.8,-1.1,755,156,4.9,638,19.9,,
175,Monmouth,176,32,2208,69,2338,73.1,-4.1,34.4,479,749,64,1846,42,527,34,35.3,386,12.1,462,14.4,1184,37.0,1156,36.1,0.9,771,222,6.9,698,21.8,,
176,Montana,177,30,2123,70.8,2070,69,1.8,56.7,495,671,73.8,1475,47.7,593,37,36.1,340,11.3,299,10.0,813,27.1,971,32.4,-5.3,600,152,5.1,620,20.7,,
177,Montana St.,178,31,2109,68,2165,69.8,-1.8,45.2,452,636,71.1,1661,44.3,522,35,36.9,325,10.5,357,11.5,966,31.2,1014,32.7,-1.5,699,203,6.5,561,18.1,,
178,Morehead St.,179,33,2536,76.8,2406,72.9,3.9,60.6,680,971,70,1867,44.9,608,30,34.5,445,13.5,516,15.6,1269,38.5,1001,30.3,8.1,802,264,8.0,773,23.4,,
179,Morgan St.,180,31,2215,71.5,2239,72.2,-0.8,48.4,475,776,61.2,1869,42.8,536,26,35.6,394,12.7,403,13.0,1190,38.4,1174,37.9,0.5,744,196,6.3,648,20.9,,
180,Mt. St. Mary's,181,32,2440,76.3,2495,78,-1.7,50,514,694,74.1,1863,44.1,797,36,33.6,376,11.8,384,12.0,1030,32.2,1165,36.4,-4.2,708,229,7.2,600,18.8,,
181,Murray St.,182,29,2247,77.5,2116,73,4.5,62.1,519,788,65.9,1597,47.5,563,38,32.8,375,12.9,369,12.7,1040,35.9,974,33.6,2.3,697,166,5.7,554,19.1,,
182,N.C. A&T,183,32,2089,65.3,2342,73.2,-7.9,28.1,674,964,69.9,1626,38.3,564,30,35.9,297,9.3,489,15.3,1159,36.2,1134,35.4,0.8,771,151,4.7,742,23.2,,
183,N.C. Central,184,33,2438,73.9,1930,58.5,15.4,84.8,625,860,72.7,1767,46.2,529,34,29.5,486,14.7,383,11.6,1173,35.5,1046,31.7,3.8,783,259,7.8,647,19.6,,
184,Navy,185,30,1820,60.7,1957,65.2,-4.6,30,299,471,63.5,1645,40.1,612,33,35.4,381,12.7,376,12.5,1006,33.5,1035,34.5,-1,671,195,6.5,566,18.9,,
185,NC State,186,34,2407,70.8,2362,69.5,1.3,61.8,469,709,66.1,1947,45.9,502,30,32,440,12.9,354,10.4,1167,34.3,1194,35.1,-0.8,761,162,4.8,636,18.7,,
186,Nebraska,187,31,2077,67,2011,64.9,2.1,61.3,501,697,71.9,1630,42.7,543,34,31.9,297,9.6,338,10.9,1034,33.4,1084,35,-1.6,761,213,6.9,629,20.3,,
187,Nevada,188,32,2316,72.4,2364,73.9,-1.5,46.9,510,700,72.9,1835,43.4,634,34,33.5,347,10.8,333,10.4,1113,34.8,1131,35.3,-0.6,761,160,5.0,604,18.9,,
188,New Hampshire,189,30,1735,57.8,1945,64.8,-7,20,356,514,69.3,1553,37.6,639,33,32,292,9.7,392,13.1,1025,34.2,1061,35.4,-1.2,739,121,4.0,583,19.4,,
189,New Mexico,190,33,2463,74.6,2190,66.4,8.3,81.8,614,845,72.7,1799,46,572,34,34.4,510,15.5,350,10.6,1259,38.2,1081,32.8,5.4,908,160,4.8,559,16.9,,
190,New Mexico St.,191,35,2702,77.2,2342,66.9,10.3,74.3,693,1007,68.8,1853,49.1,507,37,32.8,461,13.2,444,12.7,1305,37.3,1130,32.3,5,891,165,4.7,592,16.9,,
191,New Orleans,192,26,1858,71.5,1987,76.4,-5,42.3,492,722,68.1,1433,42.9,401,34,35,316,12.2,437,16.8,968,37.2,906,34.8,2.4,628,172,6.6,546,21.0,,
192,Niagara,193,33,2484,75.3,2709,82.1,-6.8,21.2,646,947,68.2,1949,42.9,554,30,38.4,330,10.0,450,13.6,1132,34.3,1247,37.8,-3.5,723,230,7.0,784,23.8,,
193,Nicholls St.,194,29,1986,68.5,2114,72.9,-4.4,48.3,392,619,63.3,1595,44.4,582,31,34.1,384,13.2,351,12.1,920,31.7,1002,34.6,-2.8,627,168,5.8,685,23.6,,
194,NJIT,195,29,2107,72.7,2061,71.1,1.6,44.8,435,603,72.1,1638,44.4,578,37,33.9,394,13.6,379,13.1,990,34.1,1026,35.4,-1.2,706,187,6.4,585,20.2,,
195,Norfolk St.,196,33,2374,71.9,2340,70.9,1,57.6,502,721,69.6,1816,46.6,514,35,34.8,453,13.7,440,13.3,1156,35.0,1060,32.1,2.9,751,203,6.2,655,19.8,,
196,North Carolina,197,32,2442,76.3,2210,69.1,7.3,71.9,534,854,62.5,1916,46.3,399,34,31.3,498,15.6,385,12.0,1272,39.8,1116,34.9,4.9,822,234,7.3,650,20.3,,
197,North Dakota,198,33,2451,74.3,2446,74.1,0.2,51.5,538,784,68.6,1880,45.7,593,33,36.6,403,12.2,368,11.2,1041,31.5,1109,33.6,-2.1,675,276,8.4,669,20.3,,
198,North Dakota St.,199,31,2368,76.4,2026,65.4,11,80.6,508,680,74.7,1661,50.9,458,37,36.6,365,11.8,304,9.8,1016,32.8,872,28.1,4.6,722,200,6.5,551,17.8,,
199,North Florida,200,32,2318,72.4,2377,74.3,-1.8,50,513,728,70.5,1784,44.2,633,36,35.6,401,12.5,483,15.1,1183,37.0,1091,34.1,2.9,800,167,5.2,601,18.8,,
200,North Texas,201,32,2228,69.6,2313,72.3,-2.7,50,523,769,68,1845,42,476,33,34.9,324,10.1,405,12.7,1183,37.0,1203,37.6,-0.6,822,210,6.6,645,20.2,,
201,Northeastern,202,32,2109,65.9,2199,68.7,-2.8,34.4,485,752,64.5,1692,43.4,481,32,37.1,371,11.6,420,13.1,1117,34.9,1062,33.2,1.7,756,173,5.4,553,17.3,,
202,Northern Ariz.,203,32,2144,67,2189,68.4,-1.4,46.9,418,586,71.3,1715,45.4,485,35,39.7,344,10.8,404,12.6,1055,33.0,953,29.8,3.2,711,198,6.2,564,17.6,,
203,Northern Colo.,204,31,2293,74,2166,69.9,4.1,58.1,432,627,68.9,1702,49.3,476,38,37.1,371,12.0,356,11.5,1002,32.3,923,29.8,2.5,667,178,5.7,609,19.6,,
204,Northern Ill.,205,32,1992,62.3,2012,62.9,-0.6,46.9,565,826,68.4,1651,39.1,494,28,30.4,271,8.5,470,14.7,1199,37.5,1062,33.2,4.3,770,211,6.6,642,20.1,,
205,Northern Ky.,206,30,2044,68.1,2211,73.7,-5.6,30,408,578,70.6,1618,43.5,654,35,37.7,334,11.1,348,11.6,940,31.3,1031,34.4,-3,654,163,5.4,624,20.8,,
