,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
317,Utah,318,31,2443,78.8,2107,68,10.8,64.5,415,606,68.5,1798,50.6,590,35.6,34.6,459,14.8,415,13.4,1177,38,963,31.1,6.9,867,190,6.1,520,16.8
318,Utah St.,319,31,2241,72.3,2195,70.8,1.5,45.2,427,609,70.1,1714,46.1,618,37.9,33.6,465,15,390,12.6,1095,35.3,1072,34.6,0.7,839,154,5,590,19
319,Utah Valley,320,31,2388,77,2277,73.5,3.6,48.4,508,721,70.5,1842,43.6,855,31.8,32.7,484,15.6,479,15.5,1220,39.4,1191,38.4,0.9,948,199,6.4,606,19.5
320,UTEP,321,32,2217,69.3,2202,68.8,0.5,46.9,413,624,66.2,1731,46.9,517,34.8,33.8,463,14.5,427,13.3,1104,34.5,1093,34.2,0.3,869,172,5.4,619,19.3
321,UTRGV,322,32,2505,78.3,2665,83.3,-5,31.3,491,685,71.7,2050,42.4,821,33.6,36.5,484,15.1,507,15.8,1179,36.8,1273,39.8,-2.9,797,246,7.7,780,24.4
322,UTSA,323,33,2178,66,2291,69.4,-3.4,42.4,468,703,66.6,1959,39.3,608,28.3,35,357,10.8,418,12.7,1292,39.2,1161,35.2,4,867,183,5.5,643,19.5
323,Valparaiso,324,32,2408,75.3,2192,68.5,6.8,75,540,697,77.5,1854,44.6,651,32.9,32.8,414,12.9,413,12.9,1225,38.3,1071,33.5,4.8,881,204,6.4,602,18.8
324,Vanderbilt,325,34,2423,71.3,2317,68.1,3.1,55.9,498,642,77.6,1841,43.1,895,37.7,33.5,441,13,420,12.4,1178,34.6,1171,34.4,0.2,899,140,4.1,565,16.6
325,VCU,326,34,2539,74.7,2258,66.4,8.3,76.5,510,721,70.7,1985,46.1,589,33.4,33.8,519,15.3,426,12.5,1246,36.6,1148,33.8,2.9,871,256,7.5,698,20.5
326,Vermont,327,34,2501,73.6,2094,61.6,12,85.3,450,641,70.2,1848,49.6,594,36.9,33,455,13.4,383,11.3,1164,34.2,1028,30.2,4,846,193,5.7,539,15.9
327,Villanova,328,34,2641,77.7,2135,62.8,14.9,91.2,515,649,79.4,1837,49.7,810,37,31.3,486,14.3,381,11.2,1134,33.4,1012,29.8,3.6,843,246,7.2,483,14.2
328,Virginia,329,32,2131,66.6,1780,55.6,11,68.8,313,442,70.8,1717,46.4,570,39.3,31.2,456,14.3,305,9.5,1054,32.9,945,29.5,3.4,772,181,5.7,520,16.3
329,Virginia Tech,330,32,2536,79.3,2381,74.4,4.8,68.8,525,715,73.4,1764,49,703,40.3,36,483,15.1,388,12.1,1041,32.5,1109,34.7,-2.1,807,128,4,525,16.4
330,VMI,331,30,2057,68.6,2346,78.2,-9.6,20,345,500,69,1778,41.2,786,31.6,39.6,356,11.9,395,13.2,990,33,1125,37.5,-4.5,684,188,6.3,595,19.8
331,Wagner,332,30,2047,68.2,1973,65.8,2.5,53.3,410,593,69.1,1700,42.8,552,33.2,33.6,326,10.9,422,14.1,1184,39.5,967,32.2,7.2,750,146,4.9,616,20.5
332,Wake Forest,333,32,2645,82.7,2493,77.9,4.8,59.4,590,764,77.2,1902,47.2,670,38.7,35.8,498,15.6,378,11.8,1176,36.8,1082,33.8,2.9,834,175,5.5,643,20.1
