Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
Brown,30,28,1923,68.7,1801,64.3,4.4,67.9,470,627,22.4,75,1310,46.8,47.4,525,18.8,40.2,0,394,14.071,367,13.107,826,29.5,866,30.9,-1.4,0,196,7,435,15.5
Bucknell,32,31,1925,62.1,2023,65.3,-3.2,38.7,389,574,18.5,67.8,1559,50.3,42.5,620,20.0,34.2,0,396,12.774,502,16.194,997,32.2,1046,33.7,-1.6,0,194,6.3,622,20.1
Buffalo,33,30,2146,71.5,2251,75,-3.5,33.3,411,601,20.0,68.4,1895,63.2,41.3,536,17.9,31.9,0,404,13.467,503,16.767,1153,38.4,1117,37.2,1.2,0,240,8,685,22.8
Butler,34,32,2187,68.3,1848,57.8,10.6,90.6,438,594,18.6,73.7,1615,50.5,45,785,24.5,37.6,0,416,13,328,10.25,949,29.7,984,30.8,-1.1,0,201,6.3,542,16.9
BYU,35,34,2518,74.1,2146,63.1,10.9,79.4,476,723,21.3,65.8,1916,56.4,46,742,21.8,37.5,0,574,16.882,486,14.294,1326,39,1162,34.2,4.8,0,201,5.9,603,17.7
Cal Poly,36,30,1896,63.2,2071,69,-5.8,40,370,564,18.8,65.6,1665,55.5,40.3,634,21.1,29,0,336,11.2,403,13.433,996,33.2,1075,35.8,-2.6,0,216,7.2,512,17.1
Cal St. Fullerton,37,32,2644,82.6,2327,72.7,9.9,75,460,652,20.4,70.6,2002,62.6,47.6,720,22.5,38.6,0,498,15.562,431,13.469,1155,36.1,1100,34.4,1.7,0,287,9,604,18.9
California,38,31,2397,77.3,2339,75.5,1.9,51.6,507,650,21.0,78,1800,58.1,46.7,579,18.7,36.3,0,469,15.129,414,13.355,1118,36.1,1015,32.7,3.3,0,125,4,556,17.9
Campbell,39,30,2144,71.5,2237,74.6,-3.1,33.3,512,732,24.4,69.9,1691,56.4,42.5,565,18.8,34.7,0,456,15.2,502,16.733,1100,36.7,1055,35.2,1.5,0,225,7.5,610,20.3
Canisius,40,31,1923,62,2269,73.2,-11.2,19.4,313,482,15.5,64.9,1729,55.8,39.8,698,22.5,33.5,0,365,11.774,504,16.258,1079,34.8,1152,37.2,-2.4,0,179,5.8,620,20
Centenary (LA),352,31,2164,69.8,2395,77.3,-7.5,32.3,462,644,20.8,71.7,1712,55.2,43.5,562,18.1,37.7,0,404,13.032,479,15.452,954,30.8,1133,36.5,-5.8,0,235,7.6,669,21.6
Central Ark.,41,30,1999,66.6,2018,67.3,-0.6,46.7,464,674,22.5,68.8,1704,56.8,39.7,583,19.4,31,0,291,9.7,467,15.567,1147,38.2,1111,37,1.2,0,206,6.9,566,18.9
Central Conn. St.,42,30,2095,69.8,2054,68.5,1.4,46.7,348,493,16.4,70.6,1688,56.3,45.5,597,19.9,35.3,0,449,14.967,438,14.6,1051,35,989,33,2.1,0,163,5.4,425,14.2
Central Mich.,43,31,2208,71.2,2244,72.4,-1.2,45.2,448,662,21.4,67.7,1760,56.8,43.7,646,20.8,34.4,0,317,10.226,491,15.839,1030,33.2,1056,34.1,-0.8,0,248,8,759,24.5
Charleston So.,44,30,2225,74.2,2307,76.9,-2.7,33.3,334,497,16.6,67.2,1869,62.3,43.2,748,24.9,37,0,421,14.033,443,14.767,1119,37.3,1126,37.5,-0.2,0,181,6,575,19.2
Charlotte,45,33,2318,70.2,2224,67.4,2.8,60.6,536,793,24.0,67.6,1882,57.0,40.3,757,22.9,34.9,0,424,12.848,473,14.333,1190,36.1,1215,36.8,-0.8,0,262,7.9,669,20.3
Chattanooga,46,31,2344,75.6,2260,72.9,2.7,58.1,515,790,25.5,65.2,1733,55.9,45.9,692,22.3,34.5,0,451,14.548,542,17.484,1231,39.7,1053,34,5.7,0,200,6.5,553,17.8
Chicago St.,47,28,2050,73.2,2221,79.3,-6.1,39.3,344,505,18.0,68.1,1671,59.7,44.5,614,21.9,35.8,0,398,14.214,454,16.214,973,34.8,1078,38.5,-3.8,0,205,7.3,543,19.4
Cincinnati,48,31,2000,64.5,2098,67.7,-3.2,41.9,379,568,18.3,66.7,1732,55.9,41.1,614,19.8,32.4,0,392,12.645,425,13.71,1132,36.5,1034,33.4,3.2,0,164,5.3,633,20.4
Clemson,49,33,2624,79.5,2297,69.6,9.9,72.7,408,654,19.8,62.4,2131,64.6,45.8,695,21.1,37.7,0,526,15.939,491,14.879,1274,38.6,1193,36.2,2.5,0,326,9.9,640,19.4
Cleveland St.,50,33,2224,67.4,2095,63.5,3.9,63.6,491,699,21.2,70.2,1801,54.6,44,0,0.0,0,0,402,12.182,468,14.182,1154,35,1040,31.5,3.5,0,250,7.6,659,20
Coastal Caro.,51,28,1936,69.1,2004,71.6,-2.4,46.4,311,460,16.4,67.6,1580,56.4,43.9,651,23.3,36.7,0,423,15.107,366,13.071,961,34.3,1008,36,-1.7,0,169,6,453,16.2
Col. of Charleston,52,33,2391,72.5,2388,72.4,0.1,48.5,365,525,15.9,69.5,1924,58.3,45.8,735,22.3,35.6,0,415,12.576,463,14.03,1175,35.6,1188,36,-0.4,0,192,5.8,497,15.1
Colgate,53,32,2095,65.5,2076,64.9,0.6,56.3,438,629,19.7,69.6,1659,51.8,44.2,495,15.5,38.2,0,364,11.375,519,16.219,1087,34,1083,33.8,0.1,0,210,6.6,562,17.6
Colorado,54,32,1997,62.4,2061,64.4,-2,37.5,375,548,17.1,68.4,1587,49.6,45.1,554,17.3,34.3,0,425,13.281,428,13.375,952,29.8,1059,33.1,-3.3,0,201,6.3,559,17.5
Colorado St.,55,32,2051,64.1,2318,72.4,-8.3,21.9,359,499,15.6,71.9,1720,53.8,43.5,577,18.0,34,0,385,12.031,434,13.562,1021,31.9,1127,35.2,-3.3,0,137,4.3,597,18.7
Columbia,56,29,1846,63.7,1859,64.1,-0.4,48.3,373,515,17.8,72.4,1502,51.8,42.2,618,21.3,33.2,0,392,13.517,401,13.828,950,32.8,933,32.2,0.6,0,135,4.7,599,20.7
Coppin St.,57,36,2152,59.8,2374,65.9,-6.2,44.4,509,708,19.7,71.9,1883,52.3,39.8,0,0.0,0,0,338,9.3889,528,14.667,1124,31.2,1289,35.8,-4.6,0,259,7.2,671,18.6
Cornell,58,27,2083,77.1,1840,68.1,9,81.5,383,502,18.6,76.3,1503,55.7,49.2,532,19.7,41.4,0,420,15.556,370,13.704,914,33.9,882,32.7,1.2,0,162,6,493,18.3
Creighton,59,31,2232,72,2022,65.2,6.8,67.7,424,590,19.0,71.9,1717,55.4,45.1,698,22.5,37,0,458,14.774,435,14.032,1071,34.5,1018,32.8,1.7,0,233,7.5,575,18.5
CSU Bakersfield,60,29,1929,66.5,2177,75.1,-8.6,27.6,364,536,18.5,67.9,1694,58.4,40.6,545,18.8,35,0,341,11.759,396,13.655,985,34,1048,36.1,-2.2,0,175,6,476,16.4
CSUN,61,30,2340,78,2132,71.1,6.9,66.7,408,591,19.7,69,1844,61.5,46.3,614,20.5,36.8,0,456,15.2,479,15.967,1113,37.1,1092,36.4,0.7,0,274,9.1,674,22.5
Dartmouth,62,28,1769,63.2,1933,69,-5.9,35.7,282,422,15.1,66.8,1597,57.0,42.7,0,0.0,0,0,348,12.429,399,14.25,912,32.6,973,34.8,-2.2,0,206,7.4,537,19.2
Davidson,63,32,2517,78.7,2013,62.9,15.8,81.3,358,498,15.6,71.9,1975,61.7,47.3,800,25.0,36.4,0,552,17.25,391,12.219,1187,37.1,1049,32.8,4.3,0,259,8.1,582,18.2
Dayton,64,31,2133,68.8,2005,64.7,4.1,67.7,434,679,21.9,63.9,1607,51.8,47,498,16.1,37.6,0,366,11.806,399,12.871,1069,34.5,918,29.6,4.9,0,155,5,559,18
Delaware,65,31,1956,63.1,2061,66.5,-3.4,45.2,451,657,21.2,68.6,1633,52.7,40.5,582,18.8,31.4,0,369,11.903,431,13.903,967,31.2,1152,37.2,-6,0,207,6.7,579,18.7
Delaware St.,66,30,1769,59,1853,61.8,-2.8,46.7,285,399,13.3,71.4,1519,50.6,42.3,581,19.4,34.4,0,340,11.333,338,11.267,814,27.1,924,30.8,-3.7,0,153,5.1,471,15.7
Denver,67,30,1698,56.6,1811,60.4,-3.8,36.7,373,489,16.3,76.3,1229,41.0,46.2,543,18.1,34.8,0,378,12.6,441,14.7,719,24,853,28.4,-4.5,0,190,6.3,533,17.8
DePaul,68,30,2177,72.6,2273,75.8,-3.2,36.7,364,562,18.7,64.8,1827,60.9,43.3,645,21.5,35.8,0,416,13.867,361,12.033,1038,34.6,1128,37.6,-3,0,221,7.4,458,15.3
Detroit Mercy,69,30,1765,58.8,1962,65.4,-6.6,23.3,266,397,13.2,67,1536,51.2,41.8,568,18.9,37.9,0,343,11.433,379,12.633,875,29.2,950,31.7,-2.5,0,185,6.2,550,18.3
Drake,70,32,2341,73.2,1949,60.9,12.3,87.5,467,618,19.3,75.6,1760,55.0,44.9,798,24.9,36.8,0,467,14.594,375,11.719,1089,34,990,30.9,3.1,0,244,7.6,471,14.7
Drexel,71,32,1904,59.5,2064,64.5,-5,37.5,391,622,19.4,62.9,1659,51.8,40.6,528,16.5,31.3,0,412,12.875,504,15.75,1063,33.2,1145,35.8,-2.6,0,223,7,598,18.7
Duke,72,32,2692,84.1,2218,69.3,14.8,84.4,555,799,25.0,69.5,1976,61.8,46.6,773,24.2,38.4,0,482,15.062,434,13.562,1188,37.1,1172,36.6,0.5,0,278,8.7,614,19.2
Duquesne,73,30,2470,82.3,2223,74.1,8.2,56.7,543,737,24.6,73.7,1863,62.1,45.9,680,22.7,31.6,0,542,18.067,487,16.233,1147,38.2,1129,37.6,0.6,0,282,9.4,599,20
East Carolina,74,30,2049,68.3,2182,72.7,-4.4,36.7,461,664,22.1,69.4,1631,54.4,41.6,604,20.1,38.4,0,427,14.233,430,14.333,983,32.8,1139,38,-5.2,0,200,6.7,603,20.1
Eastern Ill.,75,29,1833,63.2,2000,69,-5.8,24.1,358,486,16.8,73.7,1503,51.8,43.9,421,14.5,36.8,0,394,13.586,414,14.276,941,32.4,914,31.5,0.9,0,141,4.9,548,18.9
Eastern Ky.,76,30,1890,63,1933,64.4,-1.4,46.7,284,395,13.2,71.9,1530,51.0,44.1,716,23.9,36,0,432,14.4,388,12.933,817,27.2,966,32.2,-5,0,215,7.2,475,15.8
Eastern Mich.,77,31,2054,66.3,2096,67.6,-1.4,45.2,465,638,20.6,72.9,1580,51.0,42.2,715,23.1,35.9,0,396,12.774,461,14.871,1017,32.8,1001,32.3,0.5,0,184,5.9,583,18.8
Eastern Wash.,78,30,1897,63.2,2012,67.1,-3.8,36.7,370,516,17.2,71.7,1604,53.5,40.6,656,21.9,34,0,344,11.467,409,13.633,914,30.5,1019,34,-3.5,0,202,6.7,558,18.6
Elon,79,33,2074,62.8,2156,65.3,-2.5,42.4,347,508,15.4,68.3,1810,54.8,42.7,573,17.4,31.6,0,387,11.727,444,13.455,1091,33.1,1140,34.5,-1.5,0,219,6.6,625,18.9
ETSU,80,32,2514,78.6,2470,77.2,1.4,59.4,508,705,22.0,72.1,1951,61.0,45.5,642,20.1,35.8,0,419,13.094,524,16.375,1191,37.2,1230,38.4,-1.2,0,285,8.9,671,21
Evansville,81,30,1785,59.5,1966,65.5,-6,30,386,561,18.7,68.8,1487,49.6,41.9,396,13.2,38.6,0,364,12.133,416,13.867,893,29.8,980,32.7,-2.9,0,138,4.6,590,19.7
Fairfield,82,30,1972,65.7,2067,68.9,-3.2,46.7,418,600,20.0,69.7,1557,51.9,43.3,537,17.9,38.4,0,424,14.133,420,14,986,32.9,979,32.6,0.2,0,198,6.6,548,18.3
Fairleigh Dickinson,83,28,1961,70,2189,78.2,-8.1,28.6,417,585,20.9,71.3,1573,56.2,41.9,636,22.7,35.5,0,327,11.679,394,14.071,916,32.7,1120,40,-7.3,0,139,5,455,16.3
FGCU,84,31,2045,66,2286,73.7,-7.8,32.3,385,596,19.2,64.6,1742,56.2,41.5,628,20.3,34.1,0,423,13.645,565,18.226,1073,34.6,1109,35.8,-1.2,0,274,8.8,578,18.6
FIU,85,29,1855,64,2025,69.8,-5.9,31,401,609,21.0,65.8,1499,51.7,44.2,0,0.0,0,0,362,12.483,536,18.483,993,34.2,943,32.5,1.7,0,177,6.1,615,21.2
Fla. Atlantic,86,33,2365,71.7,2446,74.1,-2.5,45.5,615,913,27.7,67.4,1711,51.8,45.5,519,15.7,37.4,0,415,12.576,535,16.212,1146,34.7,1096,33.2,1.5,0,197,6,698,21.2
Florida,87,32,2500,78.1,2195,68.6,9.5,65.6,429,605,18.9,70.9,1876,58.6,48.7,676,21.1,35.9,0,553,17.281,403,12.594,1146,35.8,1031,32.2,3.6,0,192,6,515,16.1
Florida A&M,88,32,2065,64.5,2248,70.3,-5.7,46.9,356,569,17.8,62.6,1801,56.3,41.1,655,20.5,34.7,0,401,12.531,490,15.312,1053,32.9,1227,38.3,-5.4,0,216,6.8,556,17.4
Florida St.,89,33,2391,72.5,2281,69.1,3.3,57.6,519,674,20.4,77,1850,56.1,44.4,650,19.7,35.4,0,366,11.091,496,15.03,1108,33.6,1108,33.6,0,0,288,8.7,623,18.9
Fordham,90,29,1880,64.8,1947,67.1,-2.3,41.4,382,571,19.7,66.9,1538,53.0,42.3,613,21.1,32.3,0,382,13.172,381,13.138,925,31.9,1001,34.5,-2.6,0,183,6.3,523,18
Fort Wayne,91,31,2135,68.9,2171,70,-1.2,41.9,451,615,19.8,73.3,1620,52.3,45.7,551,17.8,37,0,417,13.452,424,13.677,938,30.3,1084,35,-4.7,0,176,5.7,561,18.1
Fresno St.,92,32,2200,68.8,2218,69.3,-0.6,40.6,379,545,17.0,69.5,1871,58.5,41.6,775,24.2,34.2,0,396,12.375,379,11.844,1079,33.7,1232,38.5,-4.8,0,190,5.9,508,15.9
Furman,93,30,1837,61.2,2142,71.4,-10.2,23.3,332,468,15.6,70.9,1591,53.0,40.2,678,22.6,33.2,0,360,12,433,14.433,938,31.3,1089,36.3,-5,0,173,5.8,496,16.5
Ga. Southern,94,32,2400,75,2286,71.4,3.6,62.5,444,671,21.0,66.2,1961,61.3,45,543,17.0,35,0,493,15.406,462,14.438,1207,37.7,1121,35,2.7,0,290,9.1,636,19.9
Gardner-Webb,95,32,2465,77,2415,75.5,1.6,50,466,706,22.1,66,1956,61.1,44.2,750,23.4,35.9,0,542,16.938,495,15.469,1214,37.9,1296,40.5,-2.6,0,242,7.6,734,22.9
George Mason,96,33,2306,69.9,2056,62.3,7.6,69.7,488,693,21.0,70.4,1721,52.2,46.9,574,17.4,35.2,0,437,13.242,395,11.97,1136,34.4,1002,30.4,4.1,0,184,5.6,511,15.5
George Washington,97,26,1649,63.4,1775,68.3,-4.8,34.6,304,443,17.0,68.6,1425,54.8,41.3,516,19.8,32.8,0,321,12.346,389,14.962,928,35.7,916,35.2,0.5,0,166,6.4,485,18.7
Georgetown,98,32,2231,69.7,1855,58,11.8,84.4,374,562,17.6,66.5,1652,51.6,48.6,660,20.6,38,0,502,15.688,423,13.219,1120,35,1036,32.4,2.6,0,228,7.1,561,17.5
Georgia,99,33,2253,68.3,2217,67.2,1.1,51.5,427,628,19.0,68,1900,57.6,42.8,601,18.2,32.9,0,386,11.697,492,14.909,1264,38.3,1130,34.2,4.1,0,224,6.8,590,17.9
Georgia St.,100,30,1847,61.6,1987,66.2,-4.7,30,329,512,17.1,64.3,1586,52.9,42.2,481,16.0,37,0,315,10.5,450,15,984,32.8,917,30.6,2.2,0,207,6.9,563,18.8
Georgia Tech,101,32,2482,77.6,2432,76,1.6,46.9,502,716,22.4,70.1,1873,58.5,47.1,575,18.0,37.2,0,480,15,490,15.312,1086,33.9,1111,34.7,-0.8,0,265,8.3,721,22.5
Gonzaga,102,32,2448,76.5,2024,63.3,13.3,78.1,512,716,22.4,71.5,1783,55.7,48.5,559,17.5,37.2,0,465,14.531,454,14.188,1201,37.5,1035,32.3,5.2,0,242,7.6,565,17.7
Grambling,103,26,1733,66.7,2004,77.1,-10.4,26.9,317,500,19.2,63.4,1525,58.7,41.8,437,16.8,32.5,0,327,12.577,457,17.577,1009,38.8,995,38.3,0.5,0,115,4.4,540,20.8
Green Bay,105,30,2071,69,2100,70,-1,50,423,573,19.1,73.8,1613,53.8,46,447,14.9,36.7,0,353,11.767,405,13.5,986,32.9,1010,33.7,-0.8,0,173,5.8,577,19.2
Hampton,106,30,1955,65.2,1879,62.6,2.5,60,453,754,25.1,60.1,1630,54.3,40.7,553,18.4,31.5,0,332,11.067,510,17,1128,37.6,1101,36.7,0.9,0,255,8.5,584,19.5
Hartford,107,33,2342,71,2443,74,-3.1,52.9,467,691,20.9,67.6,1759,53.3,44.8,789,23.9,37.9,0,472,14.303,492,14.909,1028,31.2,1260,38.2,-7,0,241,7.3,641,19.4
Harvard,108,30,2056,68.5,2233,74.4,-5.9,26.7,441,601,20.0,73.4,1625,54.2,44.6,520,17.3,31.7,0,397,13.233,472,15.733,975,32.5,1037,34.6,-2.1,0,217,7.2,522,17.4
Hawaii,109,30,2111,70.4,2198,73.3,-2.9,36.7,441,595,19.8,74.1,1703,56.8,44,512,17.1,33.2,0,450,15,420,14,914,30.5,1064,35.5,-5,0,183,6.1,613,20.4
High Point,110,31,2201,71,1944,62.7,8.3,54.8,339,463,14.9,73.2,1717,55.4,47.2,655,21.1,36.9,0,518,16.71,420,13.548,1086,35,983,31.7,3.3,0,184,5.9,530,17.1
Hofstra,111,30,1989,66.3,2077,69.2,-2.9,40,391,582,19.4,67.2,1664,55.5,43.6,0,0.0,0,0,306,10.2,491,16.367,1110,37,1022,34.1,2.9,0,187,6.2,582,19.4
Holy Cross,112,29,1781,61.4,1754,60.5,0.9,51.7,415,569,19.6,72.9,1406,48.5,43.6,0,0.0,0,0,392,13.517,461,15.897,972,33.5,810,27.9,5.6,0,214,7.4,563,19.4
Houston,113,31,2441,78.7,2171,70,8.7,71,505,656,21.2,77,1946,62.8,41.1,939,30.3,35.8,0,390,12.581,348,11.226,1142,36.8,1214,39.2,-2.3,0,270,8.7,584,18.8
Howard,115,32,1817,56.8,2268,70.9,-14.1,18.8,353,574,17.9,61.5,1594,49.8,41.3,0,0.0,0,0,309,9.6562,586,18.312,1063,33.2,1156,36.1,-2.9,0,137,4.3,539,16.8
Idaho,116,29,1879,64.8,2077,71.6,-6.8,27.6,303,501,17.3,60.5,1609,55.5,42.4,577,19.9,36.4,0,356,12.276,459,15.828,934,32.2,996,34.3,-2.1,0,184,6.3,605,20.9
Idaho St.,117,31,1856,59.9,2130,68.7,-8.8,38.7,384,550,17.7,69.8,1541,49.7,43.2,0,0.0,0,0,360,11.613,445,14.355,964,31.1,996,32.1,-1,0,163,5.3,565,18.2
Ill.-Chicago,118,33,2246,68.1,2143,64.9,3.1,54.5,417,579,17.5,72,1804,54.7,44.1,606,18.4,39.1,0,437,13.242,433,13.121,1135,34.4,1097,33.2,1.2,0,211,6.4,514,15.6
Illinois,119,35,2227,63.6,2139,61.1,2.5,45.7,413,679,19.4,60.8,1860,53.1,43.5,614,17.5,31.9,0,482,13.771,478,13.657,1266,36.2,1100,31.4,4.7,0,171,4.9,645,18.4
Illinois St.,120,33,2177,66,1964,59.5,6.5,72.7,374,586,17.8,63.8,1699,51.5,45.9,641,19.4,37.9,0,488,14.788,424,12.848,1089,33,1063,32.2,0.8,0,228,6.9,612,18.5
Indiana,122,32,2404,75.1,2070,64.7,10.4,78.1,571,748,23.4,76.3,1750,54.7,46.3,609,19.0,34.6,0,422,13.188,439,13.719,1217,38,1003,31.3,6.7,0,225,7,551,17.2
Indiana St.,123,31,2019,65.1,2065,66.6,-1.5,48.4,439,588,19.0,74.7,1649,53.2,41.4,649,20.9,33,0,380,12.258,398,12.839,981,31.6,1043,33.6,-2,0,205,6.6,575,18.5
Iona,124,32,2099,65.6,2209,69,-3.4,37.5,410,591,18.5,69.4,1739,54.3,43.3,581,18.2,31.5,0,432,13.5,559,17.469,1114,34.8,1094,34.2,0.6,0,248,7.8,683,21.3
Iowa,125,32,1794,56.1,1857,58,-2,40.6,340,524,16.4,64.9,1455,45.5,42.3,640,20.0,34.7,0,393,12.281,504,15.75,1039,32.5,974,30.4,2,0,140,4.4,534,16.7
Iowa St.,126,32,2048,64,2100,65.6,-1.6,43.8,416,578,18.1,72,1733,54.2,41.6,607,19.0,31.3,0,401,12.531,421,13.156,1113,34.8,1161,36.3,-1.5,0,167,5.2,516,16.1
IUPUI,127,33,2510,76.1,2132,64.6,11.5,78.8,498,642,19.5,77.6,1754,53.2,50.3,582,17.6,42.3,0,479,14.515,398,12.061,1040,31.5,973,29.5,2,0,256,7.8,561,17
Jackson St.,128,34,2340,68.8,2522,74.2,-5.4,41.2,554,821,24.1,67.5,1961,57.7,41.2,536,15.8,31.7,0,410,12.059,559,16.441,1212,35.6,1246,36.6,-1,0,251,7.4,670,19.7
Jacksonville,129,31,2248,72.5,2260,72.9,-0.4,58.1,553,752,24.3,73.5,1738,56.1,43.9,540,17.4,31.3,0,403,13,521,16.806,1112,35.9,1050,33.9,2,0,239,7.7,612,19.7
