,Team name,Team ID,Win %,Pts, PPG,OPP PTS,OPP PPG,SCR MAR,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,OPP 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
83,FGCU,84,46.9,2306,72.1,2306,72.1,0,409,608,67.3,1806,45.6,672,37.4,36.1,428,13.4,477,14.9,1124,35.1,1132,35.4,-0.3,,261,8.2,612,19.1
84,FIU,85,27.6,1836,63.3,1951,67.3,-4,426,588,72.4,1514,41.6,447,33.6,32.9,271,9.3,424,14.6,938,32.3,1001,34.5,-2.2,,216,7.4,586,20.2
85,Fla. Atlantic,86,36.7,1977,65.9,2046,68.2,-2.3,333,502,66.3,1737,41.3,613,33.9,36.6,382,12.7,366,12.2,1006,33.5,1064,35.5,-1.9,,201,6.7,574,19.1
86,Florida,87,69.7,2517,76.3,2179,66,10.2,445,625,71.2,1893,46.1,841,39,35.6,495,15,360,10.9,1160,35.2,1092,33.1,2.1,,214,6.5,523,15.8
87,Florida A&M,88,30.3,2175,65.9,2416,73.2,-7.3,352,572,61.5,2019,40.6,569,32.2,34.6,344,10.4,520,15.8,1200,36.4,1301,39.4,-3.1,,269,8.2,671,20.3
88,Florida St.,89,72.7,2321,70.3,2076,62.9,7.4,450,640,70.3,1820,45.8,575,35.3,30.5,403,12.2,537,16.3,1211,36.7,1098,33.3,3.4,,251,7.6,619,18.8
89,Fordham,90,34.5,1797,62,2074,71.5,-9.6,333,546,61,1729,38.3,,,35.9,347,12,399,13.8,1098,37.9,1118,38.6,-0.7,,189,6.5,516,17.8
90,Fort Wayne,91,36.7,2100,70,2242,74.7,-4.7,424,621,68.3,1676,45.1,497,33,38.3,410,13.7,434,14.5,1030,34.3,981,32.7,1.6,,188,6.3,593,19.8
91,Fresno St.,92,39.4,2170,65.8,2181,66.1,-0.3,486,674,72.1,1820,40.9,617,31.4,33.4,373,11.3,352,10.7,1045,31.7,1178,35.7,-4,,235,7.1,637,19.3
92,Furman,93,48.4,2006,64.7,2022,65.2,-0.5,434,608,71.4,1646,41.4,623,33.7,30.6,338,10.9,431,13.9,1073,34.6,996,32.1,2.5,,160,5.2,591,19.1
93,Ga. Southern,94,50,2002,66.7,2033,67.8,-1,341,513,66.5,1608,46.6,464,35.1,31.2,371,12.4,454,15.1,945,31.5,985,32.8,-1.3,,228,7.6,581,19.4
94,Gardner-Webb,95,37.5,2103,65.7,2138,66.8,-1.1,414,620,66.8,1804,41.5,614,31.1,32,376,11.8,447,14,1170,36.6,1096,34.3,2.3,,222,6.9,619,19.3
