,Team name,Team ID,Win %,Pts, PPG,OPP PTS,OPP PPG,SCR MAR,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,OPP 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
277,Stanford,278,65.6,2256,70.5,2013,62.9,7.6,447,672,66.5,1812,43.9,589,36.8,33.4,401,12.5,443,13.8,1183,37,1016,31.8,5.2,,197,6.2,621,19.4
278,Stetson,279,31,2089,72,2275,78.4,-6.4,396,570,69.5,1660,44.1,667,34.3,36.1,434,15,514,17.7,1058,36.5,1050,36.2,0.3,,188,6.5,560,19.3
279,Stony Brook,280,71,2064,66.6,1829,59,7.6,381,551,69.1,1739,42.8,580,33.3,34.9,340,11,377,12.2,1159,37.4,913,29.5,7.9,,168,5.4,465,15
280,Syracuse,281,93.9,2459,74.5,1993,60.4,14.1,430,622,69.1,1953,46.5,611,34.5,30.6,522,15.8,348,10.5,1166,35.3,1210,36.7,-1.3,,317,9.6,499,15.1
281,TCU,282,54.8,2218,71.5,2205,71.1,0.4,475,687,69.1,1756,43.3,617,35.8,37.6,418,13.5,423,13.6,1014,32.7,1056,34.1,-1.4,,215,6.9,596,19.2
282,Temple,283,77.4,2357,76,2167,69.9,6.1,439,611,71.8,1794,47.2,562,40.2,33.6,484,15.6,388,12.5,1086,35,1051,33.9,1.1,,224,7.2,548,17.7
283,Tennessee,284,56.3,2209,69,2094,65.4,3.6,453,642,70.6,1739,44,626,35.8,34.6,413,12.9,444,13.9,1172,36.6,1058,33.1,3.6,,181,5.7,594,18.6
284,Tennessee St.,285,62.5,2190,68.4,2131,66.6,1.8,492,713,69,1711,44,561,34.6,35.5,403,12.6,479,15,1095,34.2,1012,31.6,2.6,,239,7.5,591,18.5
285,Tennessee Tech,286,59.4,2322,72.6,2283,71.3,1.2,533,745,71.5,1712,47.1,489,36.2,37.2,441,13.8,481,15,1074,33.6,1008,31.5,2.1,,221,6.9,612,19.1
286,Texas,287,60.6,2411,73.1,2205,66.8,6.2,589,806,73.1,1870,43.6,581,32.7,35.3,408,12.4,415,12.6,1194,36.2,1094,33.2,3,,225,6.8,644,19.5
287,Texas A&M,288,43.8,1956,61.1,1968,61.5,-0.4,330,502,65.7,1695,43.2,491,33,31.4,375,11.7,430,13.4,1087,34,1033,32.3,1.7,,182,5.7,574,17.9
288,Texas Southern,289,45.5,2021,61.2,2073,62.8,-1.6,470,746,63,1658,41.3,556,32.9,33.1,331,10,560,17,1159,35.1,1150,34.8,0.3,,278,8.4,592,17.9
289,Texas St.,290,43.3,2292,76.4,2243,74.8,1.6,455,639,71.2,1842,43.2,679,36.1,35.1,419,14,443,14.8,1084,36.1,1165,38.8,-2.7,,247,8.2,629,21
290,Texas Tech,291,25.8,1844,59.5,2114,68.2,-8.7,414,590,70.2,1470,43.8,,,33.6,345,11.1,530,17.1,939,30.3,1005,32.4,-2.1,,161,5.2,658,21.2
291,The Citadel,292,20,1925,64.2,2158,71.9,-7.8,355,537,66.1,1610,43.7,486,33.3,33.8,400,13.3,441,14.7,976,32.5,1025,34.2,-1.6,,180,6,497,16.6
292,Toledo,293,52.9,2375,69.9,2253,66.3,3.6,518,714,72.5,1821,45.4,558,36.7,32.3,440,12.9,465,13.7,1149,33.8,1173,34.5,-0.7,,238,7,581,17.1
293,Towson,294,3.1,1647,51.5,2231,69.7,-18.3,379,647,58.6,1581,36.7,,,36.9,261,8.2,580,18.1,1147,35.8,1079,33.7,2.1,,177,5.5,587,18.3
294,Troy,295,35.7,1996,71.3,2122,75.8,-4.5,304,450,67.6,1758,41,724,34.5,39.2,360,12.9,347,12.4,995,35.5,1082,38.6,-3.1,,188,6.7,478,17.1
295,Tulane,296,48.4,2002,64.6,1910,61.6,3,432,653,66.2,1641,42.2,546,33.7,33.1,381,12.3,394,12.7,1051,33.9,1032,33.3,0.6,,219,7.1,515,16.6
296,Tulsa,297,54.8,2093,67.5,2001,64.5,3,495,727,68.1,1577,45,463,38.4,35.7,345,11.1,458,14.8,1126,36.3,952,30.7,5.6,,149,4.8,575,18.5
297,UAB,298,48.4,1875,60.5,1907,61.5,-1,388,566,68.6,1559,41.9,520,34.4,34.8,352,11.4,439,14.2,1084,35,990,31.9,3,,136,4.4,494,15.9
298,UC Davis,299,16.1,1924,62.1,2307,74.4,-12.4,362,529,68.4,1614,41,650,36.9,35.8,371,12,479,15.5,961,31,1138,36.7,-5.7,,151,4.9,574,18.5
299,UC Irvine,300,37.5,2179,68.1,2309,72.2,-4.1,377,592,63.7,1861,41.7,700,35.7,37.6,493,15.4,489,15.3,1188,37.1,1222,38.2,-1.1,,156,4.9,598,18.7
300,UC Riverside,301,45.2,1841,59.4,1954,63,-3.6,343,498,68.9,1669,41,,,31.6,308,9.9,411,13.3,1042,33.6,1113,35.9,-2.3,,148,4.8,536,17.3
301,UC Santa Barbara,302,66.7,2179,72.6,1973,65.8,6.9,410,590,69.5,1697,45.7,575,38.1,34.4,452,15.1,359,12,1135,37.8,1019,34,3.9,,169,5.6,523,17.4
302,UCF,303,68.8,2110,65.9,2015,63,3,442,702,63,1722,43.4,577,30.2,30.7,368,11.5,407,12.7,1167,36.5,1068,33.4,3.1,,207,6.5,533,16.7
303,UCLA,304,57.6,2263,68.6,2063,62.5,6.1,398,596,66.8,1838,46.1,453,37.3,36.4,473,14.3,395,12,1140,34.5,1044,31.6,2.9,,260,7.9,560,17
304,UConn,305,60.6,2272,68.8,2116,64.1,4.7,420,635,66.1,1844,45.4,538,33.1,34.3,449,13.6,414,12.5,1249,37.8,1144,34.7,3.2,,192,5.8,475,14.4
305,UMass Lowell,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,UMBC,307,13.3,1897,63.2,2312,77.1,-13.8,373,564,66.1,1753,39.1,512,29.7,35.5,309,10.3,439,14.6,1045,34.8,1130,37.7,-2.8,,175,5.8,630,21
307,UMES,308,23.3,1785,59.5,2109,70.3,-10.8,343,538,63.8,1695,38,555,27.7,32.2,317,10.6,522,17.4,1105,36.8,1080,36,0.8,,178,5.9,599,20
308,UMKC,309,32.3,1998,64.5,2204,71.1,-6.6,344,495,69.5,1621,43.1,679,37.7,35.8,380,12.3,412,13.3,873,28.2,1059,34.2,-6,,190,6.1,590,19
309,UNC Asheville,310,72.7,2680,81.2,2354,71.3,9.9,668,877,76.2,1858,48.4,606,35.3,35.3,549,16.6,444,13.5,1146,34.7,1100,33.3,1.4,,280,8.5,590,17.9
310,UNCG,311,40.6,2231,69.7,2457,76.8,-7.1,427,623,68.5,1961,40.3,656,33.8,37.1,371,11.6,486,15.2,1145,35.8,1176,36.8,-1,,240,7.5,675,21.1
311,UNCW,312,32.3,2013,64.9,2189,70.6,-5.7,394,580,67.9,1740,41.6,530,32.6,31,370,11.9,428,13.8,1138,36.7,1124,36.3,0.5,,173,5.6,552,17.8
312,UNI,313,59.4,2086,65.2,1976,61.8,3.4,416,572,72.7,1640,43.2,648,39.2,35.6,362,11.3,351,11,1005,31.4,1044,32.6,-1.2,,192,6,501,15.7
313,UNLV,314,76.5,2607,76.7,2239,65.9,10.8,487,717,67.9,1991,46.2,763,37,33.3,603,17.7,458,13.5,1285,37.8,1172,34.5,3.3,,285,8.4,582,17.1
314,USC Upstate,315,62.5,2297,71.8,2198,68.7,3.1,419,658,63.7,1901,44.2,571,34.3,35,415,13,480,15,1176,36.8,1030,32.2,4.6,,262,8.2,622,19.4
315,UT Arlington,316,75,2465,77,2150,67.2,9.8,607,866,70.1,1822,44.8,626,35.8,33.3,429,13.4,519,16.2,1261,39.4,1101,34.4,5,,255,8,609,19
316,UT Martin,317,12.9,1943,62.7,2327,75.1,-12.4,416,592,70.3,1698,41.3,,,36.3,403,13,478,15.4,986,31.8,1062,34.3,-2.5,,187,6,602,19.4
317,Utah,318,19.4,1720,55.5,2161,69.7,-14.2,345,518,66.6,1496,40.5,532,30.6,39,320,10.3,435,14,896,28.9,1063,34.3,-5.4,,159,5.1,514,16.6
318,Utah St.,319,53.1,2151,67.2,2055,64.2,3,446,634,70.3,1620,47.2,475,36.8,32.9,407,12.7,379,11.8,1050,32.8,1042,32.6,0.3,,125,3.9,568,17.8
319,Utah Valley,320,62.5,2236,69.9,2118,66.2,3.7,467,672,69.5,1879,42.3,579,31.3,29.7,431,13.5,401,12.5,1261,39.4,1129,35.3,4.1,,209,6.5,512,16
320,UTEP,321,46.9,2021,63.2,2019,63.1,0.1,423,619,68.3,1588,45.8,,,33.3,447,14,431,13.5,1015,31.7,1033,32.3,-0.6,,151,4.7,540,16.9
321,UTRGV,322,34.4,1993,62.3,2194,68.6,-6.3,409,580,70.5,1631,41.5,631,36.5,33.9,423,13.2,492,15.4,974,30.4,1134,35.4,-5,,163,5.1,568,17.8
322,UTSA,323,56.3,2339,73.1,2168,67.8,5.3,481,647,74.3,1775,44.7,690,39.4,32.3,433,13.5,443,13.8,1058,33.1,1139,35.6,-2.5,,263,8.2,557,17.4
323,Valparaiso,324,66.7,2273,68.9,2157,65.4,3.5,515,721,71.4,1629,47.1,646,34.7,32.2,457,13.8,473,14.3,1091,33.1,1041,31.5,1.5,,199,6,573,17.4
324,Vanderbilt,325,70.6,2479,72.9,2209,65,7.9,505,724,69.8,1829,45.9,755,38.9,30.7,437,12.9,448,13.2,1174,34.5,1134,33.4,1.2,,202,5.9,545,16
325,VCU,326,82.4,2325,68.4,2032,59.8,8.6,495,718,68.9,1924,41,747,33.7,31.8,416,12.2,389,11.4,1145,33.7,1196,35.2,-1.5,,363,10.7,617,18.1
326,Vermont,327,67.6,2286,67.2,2057,60.5,6.7,506,682,74.2,1801,44.3,532,34.6,31.9,451,13.3,420,12.4,1202,35.4,1078,31.7,3.6,,212,6.2,589,17.3
327,Villanova,328,40.6,2266,70.8,2258,70.6,0.3,546,724,75.4,1848,41.2,622,31.5,34,394,12.3,447,14,1251,39.1,1118,34.9,4.2,,178,5.6,613,19.2
328,Virginia,329,71,1955,63.1,1664,53.7,9.4,397,548,72.4,1529,46,,,29.5,382,12.3,354,11.4,1007,32.5,907,29.3,3.2,,202,6.5,491,15.8
329,Virginia Tech,330,48.5,2147,65.1,2057,62.3,2.7,434,599,72.5,1797,42,562,36.5,28,386,11.7,391,11.8,1111,33.7,1125,34.1,-0.4,,183,5.5,581,17.6
330,VMI,331,51.5,2631,79.7,2660,80.6,-0.9,564,784,71.9,2006,44.5,888,31.9,34.4,438,13.3,438,13.3,1079,32.7,1305,39.5,-6.8,,273,8.3,618,18.7
331,Wagner,332,80.6,2275,73.4,1993,64.3,9.1,513,690,74.3,1767,44.1,566,36,30.9,400,12.9,412,13.3,1074,34.6,1055,34,0.6,,244,7.9,681,22
332,Wake Forest,333,41.9,2029,65.5,2182,70.4,-4.9,485,659,73.6,1613,42.7,499,33.3,35.5,363,11.7,394,12.7,994,32.1,1125,36.3,-4.2,,162,5.2,518,16.7
333,Washington,334,67.7,2331,75.2,2172,70.1,5.1,429,702,61.1,1915,44.8,544,34.2,33.3,411,13.3,412,13.3,1250,40.3,1084,35,5.4,,209,6.7,623,20.1
334,Washington St.,335,48.4,2114,68.2,2056,66.3,1.9,469,668,70.2,1567,46.3,538,35.9,36,429,13.8,422,13.6,1019,32.9,973,31.4,1.5,,155,5,536,17.3
335,Weber St.,336,80,2323,77.4,2057,68.6,8.9,511,631,81,1672,46.1,682,39.6,35.5,397,13.2,321,10.7,1033,34.4,998,33.3,1.2,,163,5.4,540,18
336,West Virginia,337,59.4,2292,71.6,2117,66.2,5.5,477,711,67.1,1865,44.1,566,30.2,31.7,467,14.6,412,12.9,1228,38.4,1012,31.6,6.8,,208,6.5,538,16.8
337,Western Caro.,338,48.6,2503,71.5,2459,70.3,1.3,470,681,69,2090,42.3,748,35.2,36,380,10.9,459,13.1,1240,35.4,1240,35.4,0,,284,8.1,667,19.1
338,Western Ill.,339,56.3,1972,61.6,1905,59.5,2.1,367,534,68.7,1568,45.9,423,39,35,409,12.8,358,11.2,945,29.5,980,30.6,-1.1,,191,6,479,15
339,Western Ky.,340,45.5,2147,65.1,2244,68,-2.9,510,736,69.3,1827,39.7,607,30.8,33.3,365,11.1,496,15,1185,35.9,1192,36.1,-0.2,,182,5.5,654,19.8
340,Western Mich.,341,41.2,2332,68.6,2375,69.9,-1.3,525,741,70.9,1841,43.5,606,33.8,33.3,449,13.2,495,14.6,1276,37.5,1112,32.7,4.8,,159,4.7,644,18.9
341,Wichita St.,342,84.4,2486,77.7,1998,62.4,15.3,485,646,75.1,1830,48.5,604,37.3,30.9,472,14.8,391,12.2,1217,38,1002,31.3,6.7,,201,6.3,541,16.9
342,William & Mary,343,18.8,1931,60.3,2220,69.4,-9,389,547,71.1,1632,40.6,679,32.1,34.9,343,10.7,411,12.8,990,30.9,1113,34.8,-3.8,,154,4.8,545,17
343,Winthrop,344,37.5,2035,63.6,2112,66,-2.4,370,564,65.6,1793,42.1,,,37.7,349,10.9,393,12.3,1080,33.8,1051,32.8,0.9,,217,6.8,594,18.6
344,Wisconsin,345,72.7,2108,63.9,1745,52.9,11,397,536,74.1,1723,42.4,696,36.1,28.9,385,11.7,296,9,1115,33.8,1041,31.5,2.2,,172,5.2,469,14.2
345,Wofford,346,59.4,2047,64,2006,62.7,1.3,326,494,66,1733,43.6,640,33,33.7,450,14.1,375,11.7,1078,33.7,1005,31.4,2.3,,172,5.4,530,16.6
346,Wright St.,347,40.6,1857,58,1967,61.5,-3.4,418,594,70.4,1569,39.8,550,34.4,33.9,319,10,436,13.6,901,28.2,1045,32.7,-4.5,,210,6.6,635,19.8
347,Wyoming,348,64.5,1949,62.9,1719,55.5,7.4,415,558,74.4,1499,44.8,567,33.5,30.4,353,11.4,360,11.6,908,29.3,936,30.2,-0.9,,217,7,520,16.8
348,Xavier,349,63.6,2336,70.8,2226,67.5,3.3,517,747,69.2,1831,45.3,,,30.6,442,13.4,420,12.7,1202,36.4,1136,34.4,2,,201,6.1,622,18.8
349,Yale,350,67.9,1935,69.1,1810,64.6,4.5,446,628,71,1516,43.4,493,35.1,33.5,374,13.4,397,14.2,1047,37.4,915,32.7,4.7,,148,5.3,500,17.9
350,Youngstown St.,351,51.6,2095,67.6,2047,66,1.5,333,514,64.8,1729,43.1,708,38.1,36,405,13.1,347,11.2,998,32.2,1127,36.4,-4.2,,201,6.5,504,16.3
