,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
340,Western Mich.,341,32,2146,67.1,2037,63.7,3.4,62.5,542,779,24.3,69.6,1647,51.5,43.4,537,16.8,32.4,35.7,384,12,459,14.3,1182,36.9,992,31,5.9,#N/A,170,5.3,573,17.9
341,Wichita St.,342,34,2361,69.4,2064,60.7,8.7,76.5,465,676,19.9,68.8,1887,55.5,44.3,665,19.6,33.7,33,469,13.8,435,12.8,1307,38.4,1020,30,8.4,#N/A,254,7.5,602,17.7
342,William & Mary,343,30,2064,68.8,2048,68.3,0.5,43.3,405,571,19.0,70.9,1536,51.2,46.7,596,19.9,37.4,31.3,428,14.3,391,13,999,33.3,993,33.1,0.2,#N/A,154,5.1,466,15.5
343,Winthrop,344,31,1859,60,1897,61.2,-1.2,45.2,385,560,18.1,68.8,1555,50.2,41.6,570,18.4,31.6,31,297,9.6,403,13,1009,32.5,1016,32.8,-0.2,#N/A,150,4.8,541,17.5
344,Wisconsin,345,34,2228,65.5,1901,55.9,9.6,67.6,360,569,16.7,63.3,1900,55.9,42.5,754,22.2,33.4,29.2,455,13.4,331,9.7,1247,36.7,1120,32.9,3.7,#N/A,193,5.7,475,14
345,Wofford,346,32,1858,58.1,1890,59.1,-1,40.6,346,477,14.9,72.5,1696,53.0,39.2,593,18.5,30.7,30.9,369,11.5,413,12.9,1010,31.6,1058,33.1,-1.5,#N/A,238,7.4,554,17.3
346,Wright St.,347,33,2035,61.7,1921,58.2,3.5,63.6,389,556,16.8,70,1679,50.9,43.4,558,16.9,33.7,31.5,389,11.8,426,12.9,1000,30.3,1047,31.7,-1.4,#N/A,254,7.7,610,18.5
347,Wyoming,348,32,1940,60.6,1869,58.4,2.2,59.4,414,614,19.2,67.4,1550,48.4,42.5,659,20.6,31.9,32.2,376,11.8,357,11.2,914,28.6,1056,33,-4.4,#N/A,201,6.3,489,15.3
348,Xavier,349,31,2021,65.2,1936,62.5,2.7,54.8,437,655,21.1,66.7,1582,51.0,45.6,nan,0.0,nan,32.1,348,11.2,402,13,1092,35.2,942,30.4,4.8,#N/A,164,5.3,541,17.5
349,Yale,350,31,2079,67.1,2056,66.3,0.7,45.2,501,688,22.2,72.8,1620,52.3,43,524,16.9,35.1,37.8,400,12.9,442,14.3,1073,34.6,952,30.7,3.9,#N/A,197,6.4,579,18.7
350,Youngstown St.,351,32,2245,70.2,2185,68.3,1.9,53.1,447,649,20.3,68.9,1850,57.8,42.9,638,19.9,33.2,34.7,461,14.4,373,11.7,1125,35.2,1178,36.8,-1.7,#N/A,221,6.9,540,16.9
