,Team name,Team ID,FG%,FGA,Games,Win %,FT,FTA,FT%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DRPG,ST,STPG,Fouls,PFPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
201,Northeastern,202,43.9,1808,33,54.5,504,704,71.6,770,37.1,33.7,485,14.7,409,12.4,1111,33.7,1161,35.2,-1.5,24.73,202,6.1,546,16.5,2376,72,2339,70.9,1.1
202,Northern Ariz.,203,40,1747,30,16.7,436,619,70.4,650,33.8,38.7,372,12.4,389,13,1001,33.4,1188,39.6,-6.2,24.7,186,6.2,564,18.8,2054,68.5,2438,81.3,-12.8
203,Northern Colo.,204,45.1,1730,31,32.3,529,727,72.8,549,37,38.5,322,10.4,427,13.8,1079,34.8,1072,34.6,0.2,24.23,178,5.7,704,22.7,2292,73.9,2482,80.1,-6.1
204,Northern Ill.,205,42.8,1916,33,63.6,524,765,68.5,666,35.1,34.4,469,14.2,420,12.7,1295,39.2,1148,34.8,4.5,26.97,241,7.3,667,20.2,2400,72.7,2215,67.1,5.6
205,Northern Ky.,206,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,
206,Northwestern,207,45,1860,32,62.5,,,,776,35.8,34.5,527,16.5,331,10.3,1166,36.4,1103,34.5,2,25.75,124,3.9,605,18.9,2304,72,2111,66,6
207,Northwestern St.,208,45.6,1687,28,28.6,477,623,76.6,578,35.8,34.9,433,15.5,407,14.5,919,32.8,1102,39.4,-6.5,22.61,174,6.2,561,20,2224,79.4,2413,86.2,-6.8
208,Notre Dame,209,47.1,1844,32,65.6,450,612,73.5,637,36.9,37.6,0,0,311,9.7,1154,36.1,1082,33.8,2.3,25.16,179,5.6,496,15.5,2423,75.7,2259,70.6,5.1
209,Oakland,210,45.9,2006,32,65.6,638,831,76.8,718,39.6,35.1,500,15.6,371,11.6,1269,39.7,1167,36.5,3.2,27.97,190,5.9,614,19.2,2762,86.3,2525,78.9,7.4
210,Ohio,211,47.2,1818,32,65.6,517,689,75,699,39.1,36.4,448,14,380,11.9,1137,35.5,1082,33.8,1.7,27,138,4.3,590,18.4,2508,78.4,2383,74.5,3.9
211,Ohio St.,212,44.4,1869,33,60.6,456,679,67.2,612,34,34.1,379,11.5,426,12.9,1240,37.6,1178,35.7,1.9,26.97,183,5.5,585,17.7,2324,70.4,2244,68,2.4
